ORARIO DI INIZIO: 13:53:36
------------------------------------------------------------
Client connecting to 10.0.0.201, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.11 port 51724 connected with 10.0.0.201 port 5001 (icwnd/mss/irtt=1/1448/5184000)
[ ID] Interval       Transfer     Bandwidth
[  1] 92.0000-94.0000 sec  1.12 MBytes  4.72 Mbits/sec
[  1] 94.0000-96.0000 sec  1.25 MBytes  5.24 Mbits/sec
[  1] 96.0000-98.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 98.0000-100.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 100.0000-102.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 102.0000-104.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 104.0000-106.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 106.0000-108.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 108.0000-110.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 110.0000-112.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 112.0000-114.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 114.0000-116.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 116.0000-118.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 118.0000-120.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 120.0000-122.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 122.0000-124.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 124.0000-126.0000 sec   512 KBytes  2.10 Mbits/sec
[  1] 126.0000-128.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 128.0000-130.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 130.0000-132.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 132.0000-134.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 134.0000-136.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 136.0000-138.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 138.0000-140.0000 sec   512 KBytes  2.10 Mbits/sec
[  1] 140.0000-142.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 142.0000-144.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 144.0000-146.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 146.0000-148.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 148.0000-150.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 150.0000-152.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 152.0000-154.0000 sec   658 KBytes  2.70 Mbits/sec
[  1] 154.0000-156.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 156.0000-158.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 158.0000-160.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 160.0000-162.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 162.0000-164.0000 sec  1.12 MBytes  4.72 Mbits/sec
[  1] 164.0000-166.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 166.0000-168.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 168.0000-170.0000 sec   607 KBytes  2.49 Mbits/sec
[  1] 170.0000-172.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 172.0000-174.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 174.0000-176.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 176.0000-178.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 178.0000-180.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 180.0000-182.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 182.0000-184.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 184.0000-186.0000 sec   384 KBytes  1.57 Mbits/sec
[  1] 186.0000-188.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 188.0000-190.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 190.0000-192.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 192.0000-194.0000 sec   512 KBytes  2.10 Mbits/sec
[  1] 194.0000-196.0000 sec  1.00 MBytes  4.19 Mbits/sec
[  1] 196.0000-198.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 198.0000-200.0000 sec   640 KBytes  2.62 Mbits/sec
[  1] 200.0000-202.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 202.0000-204.0000 sec   896 KBytes  3.67 Mbits/sec
[  1] 204.0000-206.0000 sec   768 KBytes  3.15 Mbits/sec
[  1] 206.0000-208.0000 sec   768 KBytes  3.15 Mbits/sec
ORARIO DI FINE: 13:57:13

